time	V(n009)
0.000000000000000e+00	2.498110e+00
4.882812487672084e-10	2.498110e+00
9.765624975344167e-10	2.498110e+00
1.953124995068833e-09	2.498110e+00
3.906249990137667e-09	2.498110e+00
7.812499980275334e-09	2.498110e+00
1.562499996055067e-08	2.498110e+00
3.124999992110133e-08	2.498109e+00
6.249999984220267e-08	2.498111e+00
1.249999996844053e-07	2.498223e+00
1.882889075087082e-07	2.498668e+00
2.687627756607984e-07	2.500041e+00
3.693239499821064e-07	2.503246e+00
5.176061118229356e-07	2.510696e+00
7.500489933979306e-07	2.526503e+00
9.867066500637286e-07	2.544719e+00
1.209796070437361e-06	2.561899e+00
1.508293889611500e-06	2.584140e+00
1.923269381907781e-06	2.614036e+00
2.753220366500342e-06	2.671033e+00
3.572045882579890e-06	2.722781e+00
4.572045882579890e-06	2.778495e+00
5.572045882579890e-06	2.825598e+00
6.572045882579890e-06	2.864219e+00
7.572045882579890e-06	2.894977e+00
9.572045882579890e-06	2.936447e+00
1.057204588257989e-05	2.948458e+00
1.252159936386756e-05	2.958626e+00
1.328517062777359e-05	2.957939e+00
1.452770781096497e-05	2.951288e+00
1.653801206023833e-05	2.924265e+00
1.753801206023833e-05	2.902138e+00
1.953801206023833e-05	2.835678e+00
2.053801206023833e-05	2.790172e+00
2.061714841641458e-05	2.786155e+00
2.077542112876707e-05	2.778001e+00
2.109196655347205e-05	2.761007e+00
2.172505740288201e-05	2.724409e+00
2.272505740288201e-05	2.660004e+00
2.372505740288201e-05	2.588865e+00
2.472505740288201e-05	2.513545e+00
2.572505740288201e-05	2.437232e+00
2.672505740288201e-05	2.363263e+00
2.772505740288201e-05	2.294597e+00
2.872505740288202e-05	2.233335e+00
2.972505740288202e-05	2.180596e+00
3.072505740288202e-05	2.136599e+00
3.172505740288201e-05	2.100919e+00
3.272505740288201e-05	2.072770e+00
3.472505740288201e-05	2.035358e+00
3.572505740288201e-05	2.024790e+00
3.758106269301842e-05	2.016552e+00
3.838199500432717e-05	2.017490e+00
3.968503489593983e-05	2.024801e+00
4.179074636158831e-05	2.053866e+00
4.279074636158831e-05	2.076474e+00
4.304074636158831e-05	2.083371e+00
4.354074636158831e-05	2.098101e+00
4.454074636158831e-05	2.133700e+00
4.554074636158830e-05	2.177887e+00
4.654074636158830e-05	2.230984e+00
4.754074636158830e-05	2.292909e+00
4.854074636158830e-05	2.362451e+00
4.954074636158829e-05	2.437497e+00
5.054074636158829e-05	2.515046e+00
5.154074636158829e-05	2.591673e+00
5.254074636158828e-05	2.664151e+00
5.354074636158828e-05	2.729913e+00
5.454074636158828e-05	2.787386e+00
5.554074636158828e-05	2.835957e+00
5.654074636158827e-05	2.875795e+00
5.754074636158827e-05	2.907544e+00
5.954074636158827e-05	2.950382e+00
6.054074636158827e-05	2.962828e+00
6.250938223575759e-05	2.973493e+00
6.326527726697792e-05	2.972824e+00
6.449537434986464e-05	2.966186e+00
6.648600850340653e-05	2.939145e+00
6.748600850340653e-05	2.916755e+00
6.948600850340652e-05	2.849309e+00
7.048600850340652e-05	2.803020e+00
7.052521037875457e-05	2.801009e+00
7.060361412945069e-05	2.796955e+00
7.076042163084292e-05	2.788664e+00
7.107403663362738e-05	2.771391e+00
7.170126663919631e-05	2.734228e+00
7.270126663919631e-05	2.668190e+00
7.370126663919631e-05	2.595141e+00
7.470126663919631e-05	2.517684e+00
7.570126663919630e-05	2.439081e+00
7.670126663919630e-05	2.362773e+00
7.770126663919630e-05	2.291826e+00
7.870126663919630e-05	2.228439e+00
7.970126663919629e-05	2.173802e+00
8.070126663919629e-05	2.128171e+00
8.170126663919629e-05	2.091129e+00
8.270126663919628e-05	2.061880e+00
8.470126663919628e-05	2.022952e+00
8.570126663919628e-05	2.011927e+00
8.757184484972443e-05	2.003251e+00
8.836698568689867e-05	2.004200e+00
8.966065183337672e-05	2.011641e+00
9.175161053867475e-05	2.041222e+00
9.275161053867475e-05	2.064395e+00
9.300161053867475e-05	2.071468e+00
9.350161053867475e-05	2.086572e+00
9.450161053867475e-05	2.123094e+00
9.550161053867474e-05	2.168443e+00
9.650161053867474e-05	2.222955e+00
9.750161053867474e-05	2.286557e+00
9.850161053867474e-05	2.358017e+00
9.950161053867473e-05	2.435179e+00
1.005016105386747e-04	2.514966e+00
1.015016105386747e-04	2.593860e+00
1.025016105386747e-04	2.668533e+00
1.035016105386747e-04	2.736332e+00
1.045016105386747e-04	2.795623e+00
1.055016105386747e-04	2.845761e+00
1.065016105386747e-04	2.886907e+00
1.075016105386747e-04	2.919721e+00
1.095016105386747e-04	2.964064e+00
1.105016105386747e-04	2.976994e+00
1.124940798094284e-04	2.988254e+00
1.132477995745268e-04	2.987601e+00
1.144669646909340e-04	2.980953e+00
1.164402988828992e-04	2.953823e+00
1.174402988828992e-04	2.931134e+00
1.176902988828992e-04	2.924178e+00
1.181902988828992e-04	2.909299e+00
1.191233581762014e-04	2.875861e+00
1.200679245335581e-04	2.834137e+00
1.210679245335581e-04	2.780987e+00
1.220679245335581e-04	2.718521e+00
1.230679245335581e-04	2.647753e+00
1.240679245335581e-04	2.570643e+00
1.250679245335581e-04	2.490126e+00
1.260679245335581e-04	2.409710e+00
1.270679245335581e-04	2.332852e+00
1.280679245335580e-04	2.262432e+00
1.290679245335580e-04	2.200341e+00
1.300679245335580e-04	2.147444e+00
1.310679245335580e-04	2.103720e+00
1.320679245335580e-04	2.068575e+00
1.330679245335580e-04	2.041112e+00
1.350679245335580e-04	2.005393e+00
1.360679245335580e-04	1.995844e+00
1.377128751914040e-04	1.989916e+00
1.385966126671570e-04	1.991740e+00
1.400334560354097e-04	2.002390e+00
1.423485194971706e-04	2.042932e+00
1.433485194971706e-04	2.071148e+00
1.435985194971706e-04	2.079657e+00
1.440985194971706e-04	2.097735e+00
1.450985194971706e-04	2.140788e+00
1.460985194971706e-04	2.193286e+00
1.470985194971706e-04	2.255169e+00
1.480985194971706e-04	2.325789e+00
1.490985194971706e-04	2.403214e+00
1.500985194971706e-04	2.484625e+00
1.510985194971706e-04	2.566520e+00
1.520985194971705e-04	2.645315e+00
1.530985194971705e-04	2.717984e+00
1.540985194971705e-04	2.782417e+00
1.550985194971705e-04	2.837589e+00
1.560985194971705e-04	2.883376e+00
1.570985194971705e-04	2.920301e+00
1.580985194971705e-04	2.949216e+00
1.600985194971705e-04	2.986857e+00
1.610985194971705e-04	2.996887e+00
1.627245506455806e-04	3.002957e+00
1.636156212543465e-04	3.000914e+00
1.650642928753944e-04	2.989245e+00
1.673977462662481e-04	2.945139e+00
1.683977462662481e-04	2.914841e+00
1.686477462662481e-04	2.905739e+00
1.691477462662481e-04	2.886430e+00
1.701343376892673e-04	2.841351e+00
1.711343376892673e-04	2.786060e+00
1.721343376892673e-04	2.721366e+00
1.731343376892673e-04	2.648150e+00
1.741343376892673e-04	2.568603e+00
1.751343376892673e-04	2.485755e+00
1.761343376892673e-04	2.403215e+00
1.771343376892673e-04	2.324539e+00
1.781343376892673e-04	2.252608e+00
1.791343376892673e-04	2.189325e+00
1.801343376892673e-04	2.135503e+00
1.811343376892673e-04	2.091093e+00
1.821343376892673e-04	2.055451e+00
